insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
34117,graissessac,34260,graissessac,43.686117341,3.085391728,hérault,34,occitanie,Occitanie
81074,cunac,81990,cunac,43.927291453,2.225844273,tarn,81,occitanie,Occitanie
34121,joncels,34650,joncels,43.765838298,3.183335018,hérault,34,occitanie,Occitanie
81077,curvalle,81250,curvalle,43.911295442,2.507817562,tarn,81,occitanie,Occitanie
34125,lagamas,34150,lagamas,43.674670641,3.53273858,hérault,34,occitanie,Occitanie
81082,le dourn,81340,le dourn,44.015676151,2.471181216,tarn,81,occitanie,Occitanie
34133,lavalette,34700,lavalette,43.692630008,3.271224699,hérault,34,occitanie,Occitanie
81083,durfort,81540,durfort,43.432014639,2.073087014,tarn,81,occitanie,Occitanie
34141,la liviniere,34210,la liviniere,43.337696165,2.633094762,hérault,34,occitanie,Occitanie
81085,escroux,81530,escroux,43.757890726,2.642029779,tarn,81,occitanie,Occitanie
34148,maraussan,34370,maraussan,43.370418528,3.15386867,hérault,34,occitanie,Occitanie
81093,florentin,81150,florentin,43.885530686,2.030406067,tarn,81,occitanie,Occitanie
34151,marsillargues,34590,marsillargues,43.626767388,4.148204568,hérault,34,occitanie,Occitanie
81095,frausseilles,81170,frausseilles,44.029749954,1.928079615,tarn,81,occitanie,Occitanie
34161,montady,34310,montady,43.328259414,3.113994021,hérault,34,occitanie,Occitanie
81098,frejeville,81570,frejeville,43.608769705,2.146850154,tarn,81,occitanie,Occitanie
34162,montagnac,34530,montagnac,43.474649421,3.510060528,hérault,34,occitanie,Occitanie
81100,garrevaques,81700,garrevaques,43.492477387,1.98385352,tarn,81,occitanie,Occitanie
34168,montesquieu,34320,montesquieu,43.562331313,3.271326995,hérault,34,occitanie,Occitanie
81103,gijounet,81530,gijounet,43.708763962,2.606769507,tarn,81,occitanie,Occitanie
34169,montferrier sur lez,34980,montferrier sur lez,43.669286067,3.863198375,hérault,34,occitanie,Occitanie
81108,itzac,81170,itzac,44.050953233,1.845820005,tarn,81,occitanie,Occitanie
34170,montouliers,34310,montouliers,43.335192715,2.906493186,hérault,34,occitanie,Occitanie
81119,laboutarie,81120,laboutarie,43.788306848,2.1134692,tarn,81,occitanie,Occitanie
34171,montoulieu,34190,montoulieu,43.918713388,3.802090236,hérault,34,occitanie,Occitanie
81126,lacougotte cadoul,81500,lacougotte cadoul,43.641555307,1.821504331,tarn,81,occitanie,Occitanie
34177,murles,34980,murles,43.702190958,3.757521861,hérault,34,occitanie,Occitanie
81129,lagardiolle,81110,lagardiolle,43.499740239,2.093194979,tarn,81,occitanie,Occitanie
34194,paulhan,34230,paulhan,43.537982509,3.45846446,hérault,34,occitanie,Occitanie
81130,lagarrigue,81090,lagarrigue,43.576843063,2.284808011,tarn,81,occitanie,Occitanie
34206,poilhes,34310,poilhes,43.30445937,3.089373657,hérault,34,occitanie,Occitanie
81134,lamontelarie,81260,lamontelarie,43.620661864,2.608288774,tarn,81,occitanie,Occitanie
34208,popian,34230,popian,43.624061194,3.533438874,hérault,34,occitanie,Occitanie
81146,livers cazelles,81170,livers cazelles,44.049406579,2.000990473,tarn,81,occitanie,Occitanie
34209,portiragnes,34420,portiragnes,43.301588665,3.347983393,hérault,34,occitanie,Occitanie
81149,loupiac,81800,loupiac,43.823931136,1.782571026,tarn,81,occitanie,Occitanie
34215,pouzols,34230,pouzols,43.620582303,3.509203929,hérault,34,occitanie,Occitanie
81150,lugan,81500,lugan,43.733663202,1.717091945,tarn,81,occitanie,Occitanie
34217,prades le lez,34730,prades le lez,43.707448776,3.86490015,hérault,34,occitanie,Occitanie
81165,milhars,81170,milhars,44.122318838,1.872922789,tarn,81,occitanie,Occitanie
34219,premian,34390,premian,43.539067667,2.822660142,hérault,34,occitanie,Occitanie
81168,mirandol bourgnounac,81190,mirandol bourgnounac,44.146720954,2.171431935,tarn,81,occitanie,Occitanie
34221,puechabon,34150,puechabon,43.725108324,3.606098072,hérault,34,occitanie,Occitanie
81170,monesties,81640,monesties,44.07927521,2.098418639,tarn,81,occitanie,Occitanie
34222,puilacher,34230,puilacher,43.566769432,3.5053351150000003,hérault,34,occitanie,Occitanie
81173,montcabrier,81500,montcabrier,43.621641158,1.735844082,tarn,81,occitanie,Occitanie
34245,st chinian,34360,st chinian,43.421209287,2.931850471,hérault,34,occitanie,Occitanie
81181,montpinier,81440,montpinier,43.679150955,2.190706813,tarn,81,occitanie,Occitanie
34247,st clement de riviere,34980,st clement de riviere,43.68682806,3.842969964,hérault,34,occitanie,Occitanie
81182,montredon labessonnie,81360,montredon labessonnie,43.724450775,2.321799848,tarn,81,occitanie,Occitanie
34254,st felix de lodez,34725,st felix de lodez,43.661307259,3.469014257,hérault,34,occitanie,Occitanie
81183,mont roc,81120,mont roc,43.806026078,2.376180768,tarn,81,occitanie,Occitanie
34255,st gely du fesc,34980,st gely du fesc,43.688923031,3.809875247,hérault,34,occitanie,Occitanie
